"cwithid","timestamp","blocks","price_rate","total_spots","occupied"
2,"2011-04-01 00:00:00","{10403,10403,10403,10403,10202,10302,10302,10702,10702}",0.00,10.33,78.33
2,"2011-04-01 01:00:00","{10702,10702,10403,10403,10403,10403,10202,10402,10402,10302,10302}",0.00,10.82,67.86
2,"2011-04-01 02:00:00","{10302,10302,10702,10702,10403,10403,10202,10403,10403}",0.00,10.33,66.23
2,"2011-04-01 03:00:00","{10402,10402,10202,10403,10403,10403,10403,10302,10302,10702,10702}",0.00,10.82,59.39
2,"2011-04-01 04:00:00","{10702,10702,10403,10202,10402,10402,10403,10403,10403,10302,10302}",0.00,10.82,58.19
2,"2011-04-01 05:00:00","{10302,10302,10702,10702,10402,10403,10403,10403,10403,10202,10402}",0.00,10.82,59.31
2,"2011-04-01 06:00:00","{10403,10402,10202,10403,10403,10402,10403,10302,10302,10702,10702}",0.00,10.82,60.33
2,"2011-04-01 07:00:00","{10702,10702,10403,10202,10403,10403,10403,10402,10402,10302,10302}",0.00,10.82,68.67
2,"2011-04-01 08:00:00","{10302,10302,10702,10702,10403,10403,10403,10403}",0.00,11.50,64.06
2,"2011-04-01 09:00:00","{10403,10403,10403,10202,10402,10402,10403,10302,10302,10702,10702}",0.00,10.82,49.12
2,"2011-04-01 10:00:00","{10702,10702,10403,10403,10403,10403,10302,10302}",0.00,11.50,65.12
2,"2011-04-01 11:00:00","{10302,10302,10702,10702,10403,10202,10403,10403,10403}",0.00,10.33,71.69
2,"2011-04-01 12:00:00","{10402,10403,10403,10202,10403,10403,10402,10302,10302,10702,10702}",0.00,10.82,78.66
2,"2011-04-01 13:00:00","{10702,10702,10402,10403,10403,10403,10202,10403,10402,10302,10302}",0.00,10.82,78.24
2,"2011-04-01 14:00:00","{10302,10302,10702,10702,10403,10403,10403,10403,10402,10202,10402}",0.00,10.82,71.29
2,"2011-04-01 15:00:00","{10403,10202,10402,10402,10403,10403,10403,10302,10302,10702,10702}",0.00,10.82,67.09
2,"2011-04-01 16:00:00","{10702,10702,10403,10403,10403,10403,10202,10302,10302}",0.00,10.33,68.09
2,"2011-04-01 17:00:00","{10302,10302,10702,10702,10402,10403,10403,10403,10403,10402,10202}",0.00,10.82,82.77
2,"2011-04-01 18:00:00","{10402,10403,10403,10403,10403,10202,10402,10302,10302,10702,10702}",0.00,10.82,88.82
2,"2011-04-01 19:00:00","{10702,10702,10403,10403,10402,10402,10403,10403,10202,10302,10302}",0.00,10.82,92.06
2,"2011-04-01 20:00:00","{10302,10302,10702,10702,10402,10403,10403,10403,10403,10402}",0.00,11.80,93.59
2,"2011-04-01 21:00:00","{10403,10403,10202,10402,10402,10403,10403,10302,10302,10702,10702}",0.00,10.82,92.50
2,"2011-04-01 22:00:00","{10702,10702,10403,10202,10402,10403,10403,10403,10402,10302,10302}",0.00,10.82,87.37
2,"2011-04-01 23:00:00","{10302,10302,10702,10702,10402,10402,10403,10403,10403,10202,10403}",0.00,10.82,75.59
2,"2011-04-02 00:00:00","{10403,10403,10202,10402,10402,10403,10403,10302,10302,10702,10702}",0.00,10.82,73.95
2,"2011-04-02 01:00:00","{10702,10702,10202,10403,10403,10403,10403,10402,10402,10302,10302}",0.00,10.82,67.40
2,"2011-04-02 02:00:00","{10302,10302,10702,10702,10403,10402,10202,10403,10403,10403,10402}",0.00,10.82,48.80
2,"2011-04-02 03:00:00","{10403,10202,10402,10402,10403,10403,10403,10302,10302,10702,10702}",0.00,10.82,41.45
2,"2011-04-02 04:00:00","{10702,10702,10202,10402,10403,10403,10403,10403,10402,10302,10302}",0.00,10.82,41.78
2,"2011-04-02 05:00:00","{10302,10302,10702,10702,10403,10403,10403,10402,10402,10202,10403}",0.00,10.82,43.07
2,"2011-04-02 06:00:00","{10202,10402,10402,10403,10403,10403,10403,10302,10302,10702,10702}",0.00,10.82,45.22
2,"2011-04-02 07:00:00","{10702,10702,10402,10403,10403,10403,10403,10402,10202,10302,10302}",0.00,10.82,51.27
2,"2011-04-02 08:00:00","{10302,10302,10702,10702,10202,10403,10403,10403,10403,10402,10402}",0.00,10.82,44.70
2,"2011-04-02 09:00:00","{10403,10402,10402,10202,10403,10403,10403,10302,10302,10702,10702}",0.00,10.82,52.48
2,"2011-04-02 10:00:00","{10702,10702,10202,10403,10403,10402,10402,10403,10403,10302,10302}",0.00,10.82,73.34
2,"2011-04-02 11:00:00","{10302,10302,10702,10702,10403,10402,10403,10202,10402,10403,10403}",0.00,10.82,89.49
2,"2011-04-02 12:00:00","{10402,10402,10202,10302,10302,10702,10702}",0.00,8.43,93.69
2,"2011-04-02 13:00:00","{10702,10702,10403,10403,10403,10403,10402,10402,10202,10302,10302}",0.00,10.82,88.90
2,"2011-04-02 14:00:00","{10302,10302,10702,10702,10402,10202,10402}",0.00,8.43,82.93
2,"2011-04-02 15:00:00","{10403,10403,10403,10403,10202,10402,10402,10302,10302,10702,10702}",0.00,10.82,80.81
2,"2011-04-02 16:00:00","{10702,10702,10402,10402,10202,10403,10403,10403,10403,10302,10302}",0.00,10.82,84.00
2,"2011-04-02 17:00:00","{10302,10302,10702,10702,10202,10402,10402,10403,10403,10403,10403}",0.00,10.82,90.84
2,"2011-04-02 18:00:00","{10403,10402,10202,10403,10402,10403,10403,10302,10302,10702,10702}",0.00,10.82,95.38
2,"2011-04-02 19:00:00","{10702,10702,10403,10403,10403,10202,10402,10402,10403,10302,10302}",0.00,10.82,87.11
2,"2011-04-02 20:00:00","{10302,10302,10702,10702,10403,10402,10403,10403,10402,10202,10403}",0.00,10.82,80.72
2,"2011-04-02 21:00:00","{10402,10402,10403,10403,10403,10403,10202,10302,10302,10702,10702}",0.00,10.82,74.31
2,"2011-04-02 22:00:00","{10702,10702,10403,10402,10402,10202,10403,10403,10403,10302,10302}",0.00,10.82,76.44
2,"2011-04-02 23:00:00","{10302,10302,10702,10702,10402,10202,10403,10403,10403,10403,10402}",0.00,10.82,80.03
2,"2011-04-03 00:00:00","{10402,10402,10302,10302,10702,10702}",0.00,9.67,62.43
2,"2011-04-03 01:00:00","{10702,10702,10402,10402,10202,10302,10302}",0.00,8.43,63.91
2,"2011-04-03 02:00:00","{10302,10302,10702,10702,10403,10403,10202,10402,10402,10403,10403}",0.00,10.82,49.32
2,"2011-04-03 03:00:00","{10402,10202,10402,10302,10302}",0.00,7.80,53.92
2,"2011-04-03 04:00:00","{10302,10302,10403,10403,10403,10402,10402,10202,10403}",0.00,11.00,45.42
2,"2011-04-03 05:00:00","{10403,10402,10402,10202,10403,10403,10403,10302,10302}",0.00,11.00,44.89
2,"2011-04-03 06:00:00","{10302,10302,10403,10403,10403,10403,10202,10402,10402}",0.00,11.00,46.72
2,"2011-04-03 07:00:00","{10402,10202,10402,10302,10302}",0.00,7.80,67.53
2,"2011-04-03 08:00:00","{10302,10302,10402,10403,10403,10402,10202,10403,10403}",0.00,11.00,67.08
2,"2011-04-03 09:00:00","{10402,10403,10403,10403,10403,10402,10202,10302,10302}",0.00,11.00,76.04
2,"2011-04-03 10:00:00","{10302,10302,10402,10403,10403,10403,10403,10402,10202,10702,10702}",0.00,10.82,83.64
2,"2011-04-03 11:00:00","{10702,10702,10302,10302,10403,10403,10202,10402,10402,10403,10403}",0.00,10.82,90.85
2,"2011-04-03 12:00:00","{10403,10403,10403,10202,10402,10402,10403,10702,10702,10302,10302}",0.00,10.82,89.57
2,"2011-04-03 13:00:00","{10302,10302,10402,10402,10202,10702,10702}",0.00,8.43,94.13
2,"2011-04-03 14:00:00","{10702,10702,10302,10302,10403,10403,10202,10403,10403,10402,10402}",0.00,10.82,92.54
2,"2011-04-03 15:00:00","{10202,10403,10403,10403,10403,10402,10402,10702,10702,10302,10302}",0.00,10.82,90.16
2,"2011-04-03 16:00:00","{10302,10302,10202,10403,10403,10403,10402,10402,10403}",0.00,11.00,91.63
2,"2011-04-03 17:00:00","{10402,10202,10402,10302,10302}",0.00,7.80,92.74
2,"2011-04-03 18:00:00","{10302,10302,10402,10402,10202}",0.00,7.80,99.69
2,"2011-04-03 19:00:00","{10403,10403,10403,10202,10402,10402,10403,10302,10302,10702,10702}",0.00,10.82,93.05
2,"2011-04-03 20:00:00","{10702,10702,10403,10403,10402,10402,10202,10403,10403,10302,10302}",0.00,10.82,89.11
2,"2011-04-03 21:00:00","{10302,10302,10702,10702,10203,10402,10203,10202,10402}",0.00,8.78,87.84
2,"2011-04-03 22:00:00","{10402,10203,10203,10202,10403,10402,10403,10403,10403,10302,10302}",0.00,10.82,73.10
2,"2011-04-03 23:00:00","{10302,10302,10402,10202,10203,10203,10403,10403,10403,10403,10402,10702,10702}",0.00,10.69,66.30
2,"2011-04-04 00:00:00","{10702,10702,10302,10302,10402,10203,10202,10203,10402}",0.00,8.78,68.96
2,"2011-04-04 01:00:00","{10202,10402,10203,10203,10402,10302,10302}",0.00,8.43,57.17
2,"2011-04-04 02:00:00","{10302,10302,10702,10702,10403,10202,10403,10403,10403,10402,10402,10203,10203}",0.00,10.69,49.46
2,"2011-04-04 03:00:00","{10403,10402,10402,10202,10203,10203,10403,10403,10403,10302,10302,10702,10702}",0.00,10.69,48.98
2,"2011-04-04 04:00:00","{10702,10702,10203,10402,10203,10402,10202,10302,10302}",0.00,8.78,58.90
