node,node,Connection
0,18,1
0,67,1
0,73,1
1,122,1
1,152,1
2,8,1
2,23,1
2,24,1
2,29,1
2,42,1
2,45,1
2,47,1
2,48,1
2,49,1
2,52,1
2,56,1
2,62,1
2,77,1
2,78,1
2,80,1
2,86,1
2,89,1
2,103,1
2,104,1
2,105,1
2,118,1
2,120,1
2,128,1
2,129,1
2,133,1
2,139,1
2,150,1
3,3,1
3,4,1
3,5,1
3,16,1
3,17,1
3,20,1
3,21,1
3,27,1
3,30,1
3,36,1
3,37,1
3,44,1
3,53,1
3,54,1
3,59,1
3,60,1
3,61,1
3,63,1
3,64,1
3,66,1
3,69,1
3,70,1
3,72,1
3,76,1
3,81,1
3,101,1
3,102,1
3,107,1
3,117,1
3,119,1
3,121,1
3,125,1
3,126,1
3,136,1
3,137,1
3,138,1
3,140,1
3,151,1
4,55,1
4,57,1
4,79,1
6,122,1
6,152,1
7,2,1
7,83,1
8,3,1
8,4,1
8,5,1
8,16,1
8,17,1
8,20,1
8,21,1
8,27,1
8,30,1
8,36,1
8,37,1
8,44,1
8,53,1
8,54,1
8,59,1
8,60,1
8,61,1
8,63,1
8,64,1
8,66,1
8,69,1
8,70,1
8,72,1
8,76,1
8,81,1
8,101,1
8,102,1
8,107,1
8,117,1
8,119,1
8,121,1
8,125,1
8,126,1
8,136,1
8,137,1
8,138,1
8,140,1
8,151,1
9,8,1
9,23,1
9,24,1
9,29,1
9,42,1
9,45,1
9,47,1
9,48,1
9,49,1
9,52,1
9,56,1
9,62,1
9,77,1
9,78,1
9,80,1
9,86,1
9,89,1
9,103,1
9,104,1
9,105,1
9,118,1
9,120,1
9,128,1
9,129,1
9,133,1
9,139,1
9,150,1
10,0,1
10,1,1
10,28,1
10,32,1
10,34,1
10,75,1
10,91,1
10,93,1
10,108,1
10,109,1
10,115,1
10,123,1
10,124,1
10,127,1
10,130,1
10,141,1
12,3,1
12,4,1
12,5,1
12,16,1
12,17,1
12,20,1
12,21,1
12,27,1
12,30,1
12,36,1
12,37,1
12,44,1
12,53,1
12,54,1
12,59,1
12,60,1
12,61,1
12,63,1
12,64,1
12,66,1
12,69,1
12,70,1
12,72,1
12,76,1
12,81,1
12,101,1
12,102,1
12,107,1
12,117,1
12,119,1
12,121,1
12,125,1
12,126,1
12,136,1
12,137,1
12,138,1
12,140,1
12,151,1
16,3,1
16,4,1
16,5,1
16,16,1
16,17,1
16,20,1
16,21,1
16,27,1
16,30,1
16,36,1
16,37,1
16,44,1
16,53,1
16,54,1
16,59,1
16,60,1
16,61,1
16,63,1
16,64,1
16,66,1
16,69,1
16,70,1
16,72,1
16,76,1
16,81,1
16,101,1
16,102,1
16,107,1
16,117,1
16,119,1
16,121,1
16,125,1
16,126,1
16,136,1
16,137,1
16,138,1
16,140,1
16,151,1
17,8,1
17,23,1
17,24,1
17,29,1
17,42,1
17,45,1
17,47,1
17,48,1
17,49,1
17,52,1
17,56,1
17,62,1
17,77,1
17,78,1
17,80,1
17,86,1
17,89,1
17,103,1
17,104,1
17,105,1
17,118,1
17,120,1
17,128,1
17,129,1
17,133,1
17,139,1
17,150,1
18,55,1
18,57,1
18,79,1
19,0,1
19,1,1
19,28,1
19,32,1
19,34,1
19,75,1
19,91,1
19,93,1
19,108,1
19,109,1
19,115,1
19,123,1
19,124,1
19,127,1
19,130,1
19,141,1
20,8,1
20,23,1
20,24,1
20,29,1
20,42,1
20,45,1
20,47,1
20,48,1
20,49,1
20,52,1
20,56,1
20,62,1
20,77,1
20,78,1
20,80,1
20,86,1
20,89,1
20,103,1
20,104,1
20,105,1
20,118,1
20,120,1
20,128,1
20,129,1
20,133,1
20,139,1
20,150,1
21,3,1
21,4,1
21,5,1
21,16,1
21,17,1
21,20,1
21,21,1
21,27,1
21,30,1
21,36,1
21,37,1
21,44,1
21,53,1
21,54,1
21,59,1
21,60,1
21,61,1
21,63,1
21,64,1
21,66,1
21,69,1
21,70,1
21,72,1
21,76,1
21,81,1
21,101,1
21,102,1
21,107,1
21,117,1
21,119,1
21,121,1
21,125,1
21,126,1
21,136,1
21,137,1
21,138,1
21,140,1
21,151,1
22,8,1
22,23,1
22,24,1
22,29,1
22,42,1
22,45,1
22,47,1
22,48,1
22,49,1
22,52,1
22,56,1
22,62,1
22,77,1
22,78,1
22,80,1
22,86,1
22,89,1
22,103,1
22,104,1
22,105,1
22,118,1
22,120,1
22,128,1
22,129,1
22,133,1
22,139,1
22,150,1
23,9,1
23,13,1
23,15,1
23,134,1
24,3,1
24,4,1
24,5,1
24,16,1
24,17,1
24,20,1
24,21,1
24,27,1
24,30,1
24,36,1
24,37,1
24,44,1
24,53,1
24,54,1
24,59,1
24,60,1
24,61,1
24,63,1
24,64,1
24,66,1
24,69,1
24,70,1
24,72,1
24,76,1
24,81,1
24,101,1
24,102,1
24,107,1
24,117,1
24,119,1
24,121,1
24,125,1
24,126,1
24,136,1
24,137,1
24,138,1
24,140,1
24,151,1
25,9,1
25,13,1
25,15,1
25,134,1
26,122,1
26,152,1
27,55,1
27,57,1
27,79,1
28,12,1
28,26,1
28,31,1
28,33,1
28,43,1
28,68,1
28,98,1
28,99,1
28,100,1
28,110,1
29,3,1
29,4,1
29,5,1
29,16,1
29,17,1
29,20,1
29,21,1
29,27,1
29,30,1
29,36,1
29,37,1
29,44,1
29,53,1
29,54,1
29,59,1
29,60,1
29,61,1
29,63,1
29,64,1
29,66,1
29,69,1
29,70,1
29,72,1
29,76,1
29,81,1
29,101,1
29,102,1
29,107,1
29,117,1
29,119,1
29,121,1
29,125,1
29,126,1
29,136,1
29,137,1
29,138,1
29,140,1
29,151,1
32,3,1
32,4,1
32,5,1
32,16,1
32,17,1
32,20,1
32,21,1
32,27,1
32,30,1
32,36,1
32,37,1
32,44,1
32,53,1
32,54,1
32,59,1
32,60,1
32,61,1
32,63,1
32,64,1
32,66,1
32,69,1
32,70,1
32,72,1
32,76,1
32,81,1
32,101,1
32,102,1
32,107,1
32,117,1
32,119,1
32,121,1
32,125,1
32,126,1
32,136,1
32,137,1
32,138,1
32,140,1
32,151,1
34,3,1
34,4,1
34,5,1
34,16,1
34,17,1
34,20,1
34,21,1
34,27,1
34,30,1
34,36,1
34,37,1
34,44,1
34,53,1
34,54,1
34,59,1
34,60,1
34,61,1
34,63,1
34,64,1
34,66,1
34,69,1
34,70,1
34,72,1
34,76,1
34,81,1
34,101,1
34,102,1
34,107,1
34,117,1
34,119,1
34,121,1
34,125,1
34,126,1
34,136,1
34,137,1
34,138,1
34,140,1
34,151,1
35,12,1
35,26,1
35,31,1
35,33,1
35,43,1
35,68,1
35,98,1
35,99,1
35,100,1
35,110,1
36,0,1
36,1,1
36,28,1
36,32,1
36,34,1
36,75,1
36,91,1
36,93,1
36,108,1
36,109,1
36,115,1
36,123,1
36,124,1
36,127,1
36,130,1
36,141,1
37,3,1
37,4,1
37,5,1
37,16,1
37,17,1
37,20,1
37,21,1
37,27,1
37,30,1
37,36,1
37,37,1
37,44,1
37,53,1
37,54,1
37,59,1
37,60,1
37,61,1
37,63,1
37,64,1
37,66,1
37,69,1
37,70,1
37,72,1
37,76,1
37,81,1
37,101,1
37,102,1
37,107,1
37,117,1
37,119,1
37,121,1
37,125,1
37,126,1
37,136,1
37,137,1
37,138,1
37,140,1
37,151,1
38,3,1
38,4,1
38,5,1
38,16,1
38,17,1
38,20,1
38,21,1
38,27,1
38,30,1
38,36,1
38,37,1
38,44,1
38,53,1
38,54,1
38,59,1
38,60,1
38,61,1
38,63,1
38,64,1
38,66,1
38,69,1
38,70,1
38,72,1
38,76,1
38,81,1
38,101,1
38,102,1
38,107,1
38,117,1
38,119,1
38,121,1
38,125,1
38,126,1
38,136,1
38,137,1
38,138,1
38,140,1
38,151,1
39,3,1
39,4,1
39,5,1
39,16,1
39,17,1
39,20,1
39,21,1
39,27,1
39,30,1
39,36,1
39,37,1
39,44,1
39,53,1
39,54,1
39,59,1
39,60,1
39,61,1
39,63,1
39,64,1
39,66,1
39,69,1
39,70,1
39,72,1
39,76,1
39,81,1
39,101,1
39,102,1
39,107,1
39,117,1
39,119,1
39,121,1
39,125,1
39,126,1
39,136,1
39,137,1
39,138,1
39,140,1
39,151,1
42,9,1
42,13,1
42,15,1
42,134,1
43,12,1
43,26,1
43,31,1
43,33,1
43,43,1
43,68,1
43,98,1
43,99,1
43,100,1
43,110,1
44,9,1
44,13,1
44,15,1
44,134,1
45,3,1
45,4,1
45,5,1
45,16,1
45,17,1
45,20,1
45,21,1
45,27,1
45,30,1
45,36,1
45,37,1
45,44,1
45,53,1
45,54,1
45,59,1
45,60,1
45,61,1
45,63,1
45,64,1
45,66,1
45,69,1
45,70,1
45,72,1
45,76,1
45,81,1
45,101,1
45,102,1
45,107,1
45,117,1
45,119,1
45,121,1
45,125,1
45,126,1
45,136,1
45,137,1
45,138,1
45,140,1
45,151,1
46,3,1
46,4,1
46,5,1
46,16,1
46,17,1
46,20,1
46,21,1
46,27,1
46,30,1
46,36,1
46,37,1
46,44,1
46,53,1
46,54,1
46,59,1
46,60,1
46,61,1
46,63,1
46,64,1
46,66,1
46,69,1
46,70,1
46,72,1
46,76,1
46,81,1
46,101,1
46,102,1
46,107,1
46,117,1
46,119,1
46,121,1
46,125,1
46,126,1
46,136,1
46,137,1
46,138,1
46,140,1
46,151,1
47,143,1
48,3,1
48,4,1
48,5,1
48,16,1
48,17,1
48,20,1
48,21,1
48,27,1
48,30,1
48,36,1
48,37,1
48,44,1
48,53,1
48,54,1
48,59,1
48,60,1
48,61,1
48,63,1
48,64,1
48,66,1
48,69,1
48,70,1
48,72,1
48,76,1
48,81,1
48,101,1
48,102,1
48,107,1
48,117,1
48,119,1
48,121,1
48,125,1
48,126,1
48,136,1
48,137,1
48,138,1
48,140,1
48,151,1
50,3,1
50,4,1
50,5,1
50,16,1
50,17,1
50,20,1
50,21,1
50,27,1
50,30,1
50,36,1
50,37,1
50,44,1
50,53,1
50,54,1
50,59,1
50,60,1
50,61,1
