code,code,1 / distance
0.0,0.0,0.0
0.0,29.0,0.010986314844217231
0.0,30.0,0.01142218794226414
0.0,31.0,0.013573689173424636
0.0,41.0,0.003481017573069235
0.0,43.0,0.00267781926562828
0.0,44.0,0.0031891779146082317
0.0,53.0,0.00238789063768598
0.0,61.0,0.0016032462552739474
0.0,84.0,0.0007351115003914014
0.0,90.0,0.0007922158135173548
0.0,92.0,0.0007523515971655441
1.0,1.0,0.0
1.0,3.0,0.013740573309593811
1.0,5.0,0.016028269895045272
1.0,8.0,0.022341318765167876
1.0,9.0,0.0013176557141448253
1.0,12.0,0.0012374274530666909
1.0,16.0,0.0011959855701332916
1.0,17.0,0.0012231271548420173
1.0,19.0,0.0011557742225049342
1.0,21.0,0.0010839057174907353
1.0,23.0,0.0010612947928511183
1.0,24.0,0.0010528403945013704
1.0,25.0,0.0010383111797629052
1.0,26.0,0.0009993718468888299
1.0,27.0,0.0010332302251045153
1.0,28.0,0.0009929065597814376
1.0,56.0,0.0007251720815819544
1.0,57.0,0.0006763831235111645
1.0,59.0,0.0006867800648803087
1.0,62.0,0.0006964700155846288
1.0,66.0,0.0006149154189343525
1.0,69.0,0.0017668929775998595
1.0,72.0,0.001990466587997264
1.0,73.0,0.0020048898344445436
1.0,79.0,0.0018309934147808927
1.0,80.0,0.0016339605884730583
1.0,83.0,0.001412420904969065
1.0,86.0,0.001450276977283991
1.0,87.0,0.0015241786540683817
1.0,88.0,0.0015116573713036968
1.0,89.0,0.0015198932217997845
1.0,103.0,0.002155771412490251
1.0,104.0,0.0021457408146911567
2.0,2.0,0.0
2.0,6.0,0.02167916936432391
2.0,10.0,0.0012857592894491808
2.0,11.0,0.0012395283107225318
2.0,34.0,0.0009460080229919478
2.0,54.0,0.0007413639618292011
2.0,60.0,0.0006848641950810042
2.0,67.0,0.0006540211541753597
2.0,74.0,0.0017861037187615943
2.0,75.0,0.0018740306990442366
2.0,82.0,0.0016183647411723387
2.0,85.0,0.0015986548313964143
2.0,96.0,0.0014183444720304052
2.0,97.0,0.0013680942050290316
2.0,98.0,0.0013270380795269696
2.0,105.0,0.001552407093354856
3.0,1.0,0.013740573309593811
3.0,3.0,0.0
3.0,5.0,0.09264160656645305
3.0,8.0,0.01063196149624334
3.0,9.0,0.001269574474427411
3.0,12.0,0.0012081141175474008
3.0,16.0,0.00117142929976253
3.0,17.0,0.0011989348167807392
3.0,19.0,0.001136630500621289
3.0,21.0,0.0010736289292957463
3.0,23.0,0.0010496293242259606
3.0,24.0,0.0010420513843566188
3.0,25.0,0.0010289304170853966
3.0,26.0,0.0009937717059366928
3.0,27.0,0.0010275340353492909
3.0,28.0,0.000990510495020453
3.0,56.0,0.0007319838932204285
3.0,57.0,0.0006843510460504546
3.0,59.0,0.0006947207947807512
3.0,62.0,0.0007043912637400509
3.0,66.0,0.0006228324726551242
3.0,69.0,0.001565819954608982
3.0,72.0,0.0017386357507934926
3.0,73.0,0.0017498965460726458
3.0,79.0,0.0016164443418845277
3.0,80.0,0.0014607913748721564
3.0,83.0,0.001570914899875544
3.0,86.0,0.001613769068751199
3.0,87.0,0.0017098791558854314
3.0,88.0,0.0016983214155134355
3.0,89.0,0.001707289486875282
3.0,103.0,0.0018634542992455863
3.0,104.0,0.0018562909843872126
4.0,4.0,0.0
4.0,35.0,0.0009427685480067258
5.0,1.0,0.016028269895045272
5.0,3.0,0.09264160656645305
5.0,5.0,0.0
5.0,8.0,0.011965808835152527
5.0,9.0,0.0012808565887619675
5.0,12.0,0.001216600312399664
5.0,16.0,0.0011790156868010098
